author,title
"Йоахим Геррманн","Тайны космоса. Созвездия"
"Владимир Сурдин","Марс. Великое противостояние"
"Карл Саган","Космос"
"Стивен Хокинг","Краткие ответы на большие вопросы"
"Игорь Новиков","Куда течет река времени?"
"Игорь Новиков","Эволюция Вселенной"
"Игорь Новиков","Как взорвалась Вселенная"
"Игорь Новиков","Черные дыры и Вселенная"
"Алексей Савватеев","Математика для гуманитариев. Живые лекции"
"Владимир Сурдин","Астрономия. Популярные лекции"
"Владимир Сурдин","Путешествия к Луне"
"Владимир Сурдин","Разведка далеких планет"
"Алексей Савватеев, Александр Филатов","Занимательная экономика. Теория экономических механизмов от А до Я"
"Марк Гарлик","Вселенная. Иллюстрированный атлас"
"Яков Перельман","Занимательная физика"
"Владимир Сурдин","Звёзды"
"Владимир Сурдин","Понятный космос: от кварка до квазара"
"Яков Перельман","Занимательная астрономия"
"Яков Перельман","Физика на каждом шагу"
"Алексей Савватеев","Живая математика. Нематематическая книга о вдохновении, науке, образовании и жизни"
"Владимир Сурдин","Темная сторона Вселенной"
"Алексей Семихатов","Всё, что движется: прогулки по беспокойной Вселенной"
"Алексей Семихатов","Сто лет недосказанности: квантовая механика для всех в 25 эссе"
"Владимир Сурдин","Астрономия планетных систем"
"Кристиан Дэвенпорт","Космические бароны. Крестовый поход во имя колонизации космоса"
"Майк Браун","Как я убил Плутон и почему это было неизбежно"
"Евгений Беркович","Заметки об Альберте Эйнштейне. Время, наука, жизнь"
"Карл Саган","Драконы Эдема: рассуждения об эволюции человеческого разума"
"Иэн Стюарт","Это база. Зачем нужна математика в повседневной жизни"
"Алекс Беллос","Алекс в стране чисел. Необычайное путешествие в волшебный мир математики"
"Джон Дербишир","Простая одержимость. Бернхард Риман и величайшая нерешенная проблема в математике"
"Ричард Фейнман","Характер физических законов"
"Ричард Фейнман","Вы, конечно, шутите, мистер Фейнман"
"Ричард Фейнман","Какое тебе дело до того, что думают другие"
"Йостейн Рисер Кристиансен","Невидимая Вселенная. Темные секреты космоса"
"Иэн Стюарт","Значимые фигуры. Жизнь и открытия великих математиков"
"Джон Уиллис","Все эти миры - Ваши. Научные поиски внеземной жизни"
